Rede,Bairro,Endereço,Região,CEP,Cidade,Tipo de recarga,Tipo de Estabelecimento,Estabelecimento,Tipo de Atendimento
PLDEVICE,VILA BUARQUE,"AV. IPIRANGA, 200, EM FRENTE",CENTRO,01046-010,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA COPAN,PÚBLICO
PLDEVICE,VILA BUARQUE,"AV. VIEIRA DE CARVALHO, 10",CENTRO,01210-010,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA MASTROROSA,PÚBLICO
PLDEVICE,VILA BUARQUE,"RUA GENERAL JARDIM, 633, CONJ 91",CENTRO,01223-904,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,ESCOLA ONG,"INSTITUTO C CRIANÇA, CUIDADO, CIDADÃO",PRIVADO
PLDEVICE,A.E CARVALHO,"AV. IMPERADOR, 1401",ZONA LESTE,08051-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,TERMINAL DE ÔNIBUS,TERMINAL A. E. CARVALHO,PÚBLICO
PLDEVICE,AGUA RASA,"AV. ÁLVARO RAMOS, 2612",ZONA LESTE,03330-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA ÁGUA RASA,PÚBLICO
PLDEVICE,ALTO DA MOCCA,"RUA CUIABA, 184, BANCA DE JORNAL",ZONA LESTE,03183-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,ALEXANDRE GUTIERREZ,PÚBLICO
PLDEVICE,ALTO DA MOOCA,"RUA CUIABÁ, 576",ZONA LESTE,03183-001,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,PAPELARIA,PAPELARIA ARCO IRIS ( BECO DOS PAPEIS),PÚBLICO
PLDEVICE,ALTO DA MOOCA,"RUA DO ORATORIO, 2553",ZONA LESTE,03195-100,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,LOJA DE ROUPAS E ACE,ARTH E SEDUÇÃO,PÚBLICO
PLDEVICE,ANTONIO ESTEVAO DE C,"AV. CAITITU, 877",ZONA LESTE,08223-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,LOJA MAT ELETRICOS,AMS MATERIAIS ELETRICOS,PÚBLICO
PLDEVICE,ARTUR ALVIM,"RUA MACIEL MONTEIRO, 216",ZONA LESTE,03566-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,PAPELARIA,CASA PAULISTA PAPELARIA,PÚBLICO
